Date,Conservative,Balanced,Growth
2019-03-14,-0.0054546983082793205,-0.00370560935966854,-0.00182553481531488
2019-03-15,0.00553710144447566,0.00540630494663741,0.00727811370348913
2019-03-18,0.0013341304888728602,0.00205982903878724,0.0025835394185851103
2019-03-19,-0.00023566523094650002,-0.00024047830860552988,0.00155848315726822
2019-03-20,0.00427698668937452,0.0019806275459154097,0.00182478000322835
2019-03-21,0.0045926908461105,0.00703415852928533,0.01255392240059988
2019-03-22,-0.0010155687390097593,-0.006652805102459899,-0.01712725336883062
2019-03-25,0.0018727803201165202,0.0007959150198287701,-0.0010925519174446899
2019-03-26,0.0017008353747712199,0.00375993627767078,0.00523817429375967
2019-03-27,0.0005435491078745803,-0.0008995883941693599,-0.004382833079946549
2019-03-28,8.109377889598023e-05,0.0019056251912348398,0.0030175120559007
2019-03-29,0.0023234336041082,0.00358904815677081,0.00621270686169456
2019-04-01,-0.0017246028255816794,0.00246108023972174,0.00994715980808703
2019-04-02,0.00167605940207938,0.00121880876653581,0.00227587192644832
2019-04-03,-0.0031326658796994203,-0.00180364698601207,0.00263570982237169
2019-04-04,0.00270392142400238,0.00269673738900684,0.00115437943379455
2019-04-05,0.0022395960968934403,0.00318492920025771,0.00465082236084294
2019-04-08,-0.00024500666629765993,-0.0001723031596701399,0.0012227668292432402
2019-04-09,0.00025725681705816004,-0.0016057026222934898,-0.0034899112494816203
2019-04-10,0.00294928351402616,0.00308107706224675,0.00428972590445542
2019-04-11,-0.0050186725827105,-0.0032077883763526605,-0.0018846550262886599
2019-04-12,-0.0003392895953496797,0.0018245973644589301,0.00415610751427457
2019-04-15,0.0003713062480325,0.00017640051906515003,7.135405156200004e-05
2019-04-16,-0.004035192280229321,-0.00238160179190512,0.0013577290603038897
2019-04-17,-0.00119701605017172,-0.0015365746358475098,0.00080448930327935
2019-04-18,0.00303129306690796,0.0028268542908816,0.0019526210658374202
2019-04-22,-0.00157547208738616,-0.0009229898270357398,0.0012788147986856403
2019-04-23,0.004031578668812621,0.0058250028625296095,0.01016824361739955
